pertanyaan,jawaban
"Apa nama festival yang terkenal di Tajikistan?","Festival Musik Rakyat Tajikistan"
"Apa nama tarian tradisional dari Tajikistan?","Tarian Rakyat Tajikistan"
"Apa nama minuman khas dari Tajikistan?","Teh Hijau"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Turkmenistan?","Ashgabat"
"Apa nama alat musik tradisional dari Turkmenistan?","Dutar"
"Apa nama seni bela diri tradisional dari Turkmenistan?","Gulat Turkmenistan"
"Apa nama festival yang terkenal di Turkmenistan?","Festival Nasional Turkmenistan"
"Apa nama tarian tradisional dari Turkmenistan?","Tarian Rakyat Turkmenistan"
"Apa nama minuman khas dari Turkmenistan?","Teh Hijau"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Afghanistan?","Kabul"
"Apa nama alat musik tradisional dari Afghanistan?","Rubab"
"Apa nama seni bela diri tradisional dari Afghanistan?","Buzkashi"
"Apa nama festival yang terkenal di Afghanistan?","Festival Nouruz"
"Apa nama tarian tradisional dari Afghanistan?","Tarian Atan"
"Apa nama minuman khas dari Afghanistan?","Teh Hijau"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Iran?","Teheran"
"Apa nama alat musik tradisional dari Iran?","Santoor"
"Apa nama seni bela diri tradisional dari Iran?","Varzesh-e Pahlavani"
"Apa nama festival yang terkenal di Iran?","Festival Nouruz"
"Apa nama tarian tradisional dari Iran?","Tarian Sufi"
"Apa nama minuman khas dari Iran?","Sharbati"
"Siapa nama penulis novel 'The Old Man and the Sea'?","Ernest Hemingway"
"Apa nama ibukota dari negara Irak?","Baghdad"
"Apa nama alat musik tradisional dari Irak?","Oud"
"Apa nama seni bela diri tradisional dari Irak?","Karate"
"Apa nama festival yang terkenal di Irak?","Festival Seni Internasional Baghdad"
"Apa nama tarian tradisional dari Irak?","Tarian Rakyat Irak"
"Apa nama minuman khas dari Irak?","Teh"
"Siapa nama penulis novel 'The Picture of Dorian Gray'?","Oscar Wilde"
"Apa nama ibukota dari negara Suriah?","Damaskus"
"Apa nama alat musik tradisional dari Suriah?","Oud"
"Apa nama seni bela diri tradisional dari Suriah?","Karate"
"Apa nama festival yang terkenal di Suriah?","Festival Seni Internasional Damaskus"
"Apa nama tarian tradisional dari Suriah?","Tarian Rakyat Suriah"
"Apa nama minuman khas dari Suriah?","Teh"
"Siapa nama penulis novel 'The Great Gatsby'?","F. Scott Fitzgerald"
"Apa nama ibukota dari negara Lebanon?","Beirut"
"Apa nama alat musik tradisional dari Lebanon?","Oud"
"Apa nama seni bela diri tradisional dari Lebanon?","Karate"
"Apa nama festival yang terkenal di Lebanon?","Festival Internasional Beirut"
"Apa nama tarian tradisional dari Lebanon?","Tarian Rakyat Lebanon"
"Apa nama minuman khas dari Lebanon?","Arak"
"Siapa nama penulis novel 'The Catcher in the Rye'?","J.D. Salinger"
"Apa nama ibukota dari negara Yordania?","Amman"
"Apa nama alat musik tradisional dari Yordania?","Oud"
"Apa nama seni bela diri tradisional dari Yordania?","Karate"
"Apa nama festival yang terkenal di Yordania?","Festival Internasional Jerash"
"Apa nama tarian tradisional dari Yordania?","Tarian Rakyat Yordania"
"Apa nama minuman khas dari Yordania?","Teh"
"Siapa nama penulis novel 'The Alchemist'?","Paulo Coelho"
"Apa nama ibukota dari negara Israel?","Yerusalem"
"Apa nama alat musik tradisional dari Israel?","Kinnor"
"Apa nama seni bela diri tradisional dari Israel?","Krav Maga"
"Apa nama festival yang terkenal di Israel?","Festival Internasional Yerusalem"
"Apa nama tarian tradisional dari Israel?","Tarian Rakyat Israel"
"Apa nama minuman khas dari Israel?","Anggur"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Palestina?","Ramallah"
"Apa nama alat musik tradisional dari Palestina?","Oud"
"Apa nama seni bela diri tradisional dari Palestina?","Karate"
"Apa nama festival yang terkenal di Palestina?","Festival Internasional Palestina"
"Apa nama tarian tradisional dari Palestina?","Tarian Rakyat Palestina"
"Apa nama minuman khas dari Palestina?","Arak"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Siprus?","Nicosia"
"Apa nama alat musik tradisional dari Siprus?","Oud"
"Apa nama seni bela diri tradisional dari Siprus?","Karate"
"Apa nama festival yang terkenal di Siprus?","Festival Internasional Siprus"
"Apa nama tarian tradisional dari Siprus?","Tarian Rakyat Siprus"
"Apa nama minuman khas dari Siprus?","Ouzo"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Malta?","Valletta"
"Apa nama alat musik tradisional dari Malta?","Oud"
"Apa nama seni bela diri tradisional dari Malta?","Karate"
"Apa nama festival yang terkenal di Malta?","Festival Seni Internasional Malta"
"Apa nama tarian tradisional dari Malta?","Tarian Rakyat Malta"
"Apa nama minuman khas dari Malta?","Anggur"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Monako?","Monako"
"Apa nama alat musik tradisional dari Monako?","Gitar"
"Apa nama seni bela diri tradisional dari Monako?","Karate"
"Apa nama festival yang terkenal di Monako?","Grand Prix Monako"
"Apa nama tarian tradisional dari Monako?","Tarian Balet"
"Apa nama minuman khas dari Monako?","Anggur"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara San Marino?","San Marino"
"Apa nama alat musik tradisional dari San Marino?","Gitar"
"Apa nama seni bela diri tradisional dari San Marino?","Karate"
"Apa nama festival yang terkenal di San Marino?","Festival Musik San Marino"
"Apa nama tarian tradisional dari San Marino?","Tarian Rakyat San Marino"
"Apa nama minuman khas dari San Marino?","Anggur"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Vatikan?","Vatikan"
"Apa nama alat musik tradisional dari Vatikan?","Orgel"
"Apa nama seni bela diri tradisional dari Vatikan?","Karate"
"Apa nama festival yang terkenal di Vatikan?","Paskah Vatikan"
"Apa nama tarian tradisional dari Vatikan?","Tarian Liturgi"
"Apa nama minuman khas dari Vatikan?","Anggur"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Liechtenstein?","Vaduz"
"Apa nama alat musik tradisional dari Liechtenstein?","Akordeon"
"Apa nama seni bela diri tradisional dari Liechtenstein?","Karate"
"Apa nama festival yang terkenal di Liechtenstein?","Festival Seni Liechtenstein"
"Apa nama tarian tradisional dari Liechtenstein?","Tarian Rakyat Liechtenstein"
"Apa nama minuman khas dari Liechtenstein?","Anggur"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Andorra?","Andorra la Vella"
"Apa nama alat musik tradisional dari Andorra?","Gitar"
"Apa nama seni bela diri tradisional dari Andorra?","Karate"
"Apa nama festival yang terkenal di Andorra?","Festival Jazz Escaldes-Engordany"
"Apa nama tarian tradisional dari Andorra?","Tarian Rakyat Andorra"
"Apa nama minuman khas dari Andorra?","Anggur"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Luksemburg?","Luksemburg"
"Apa nama alat musik tradisional dari Luksemburg?","Akordeon"
"Apa nama seni bela diri tradisional dari Luksemburg?","Karate"
"Apa nama festival yang terkenal di Luksemburg?","Festival Seni Luksemburg"
"Apa nama tarian tradisional dari Luksemburg?","Tarian Rakyat Luksemburg"
"Apa nama minuman khas dari Luksemburg?","Anggur"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Belgia?","Brussel"
"Apa nama alat musik tradisional dari Belgia?","Akordeon"
"Apa nama seni bela diri tradisional dari Belgia?","Karate"
"Apa nama festival yang terkenal di Belgia?","Festival Brussel"
"Apa nama tarian tradisional dari Belgia?","Tarian Flandria"
"Apa nama minuman khas dari Belgia?","Bir"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Belanda?","Amsterdam"
"Apa nama alat musik tradisional dari Belanda?","Akordeon"
"Apa nama seni bela diri tradisional dari Belanda?","Karate"
"Apa nama festival yang terkenal di Belanda?","Hari Raja"
"Apa nama tarian tradisional dari Belanda?","Tarian Rakyat Belanda"
"Apa nama minuman khas dari Belanda?","Gin"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Jerman?","Berlin"
"Apa nama alat musik tradisional dari Jerman?","Alpenhorn"
"Apa nama seni bela diri tradisional dari Jerman?","Karate"
"Apa nama festival yang terkenal di Jerman?","Oktoberfest"
"Apa nama tarian tradisional dari Jerman?","Schuhplattler"
"Apa nama minuman khas dari Jerman?","Bir"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Inggris?","London"
"Apa nama alat musik tradisional dari Inggris?","Bagpipe"
"Apa nama seni bela diri tradisional dari Inggris?","Karate"
"Apa nama festival yang terkenal di Inggris?","Glastonbury Festival"
"Apa nama tarian tradisional dari Inggris?","Tarian Morris"
"Apa nama minuman khas dari Inggris?","Teh"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Prancis?","Paris"
"Apa nama alat musik tradisional dari Prancis?","Akordeon"
"Apa nama seni bela diri tradisional dari Prancis?","Savate"
"Apa nama festival yang terkenal di Prancis?","Festival Cannes"
"Apa nama tarian tradisional dari Prancis?","Tarian Moulin Rouge"
"Apa nama minuman khas dari Prancis?","Anggur"
"Siapa nama penulis novel 'The Great Gatsby'?","F. Scott Fitzgerald"
"Apa nama ibukota dari negara Spanyol?","Madrid"
"Apa nama alat musik tradisional dari Spanyol?","Kastanyet"
"Apa nama seni bela diri tradisional dari Spanyol?","Karate"
"Apa nama festival yang terkenal di Spanyol?","La Tomatina"
"Apa nama tarian tradisional dari Spanyol?","Flamenco"
"Apa nama minuman khas dari Spanyol?","Sangria"
"Siapa nama penulis novel 'Don Quixote'?","Miguel de Cervantes"
"Apa nama ibukota dari negara Portugal?","Lisbon"
"Apa nama alat musik tradisional dari Portugal?","Gitarra Portuguesa"
"Apa nama seni bela diri tradisional dari Portugal?","Karate"
"Apa nama festival yang terkenal di Portugal?","Festival Santo António"
"Apa nama tarian tradisional dari Portugal?","Fado"
"Apa nama minuman khas dari Portugal?","Vinho Verde"
"Siapa nama penulis novel 'The Alchemist'?","Paulo Coelho"
"Apa nama ibukota dari negara Italia?","Roma"
"Apa nama alat musik tradisional dari Italia?","Mandolin"
"Apa nama seni bela diri tradisional dari Italia?","Karate"
"Apa nama festival yang terkenal di Italia?","Festival Film Venesia"
"Apa nama tarian tradisional dari Italia?","Tarantella"
"Apa nama minuman khas dari Italia?","Espresso"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Yunani?","Athena"
"Apa nama alat musik tradisional dari Yunani?","Bouzouki"
"Apa nama seni bela diri tradisional dari Yunani?","Pankration"
"Apa nama festival yang terkenal di Yunani?","Festival Athena dan Epidaurus"
"Apa nama tarian tradisional dari Yunani?","Sirtaki"
"Apa nama minuman khas dari Yunani?","Ouzo"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Belanda?","Amsterdam"
"Apa nama alat musik tradisional dari Belanda?","Akordeon"
"Apa nama seni bela diri tradisional dari Belanda?","Karate"
"Apa nama festival yang terkenal di Belanda?","Hari Raja"
"Apa nama tarian tradisional dari Belanda?","Tarian Rakyat Belanda"
"Apa nama minuman khas dari Belanda?","Gin"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Belgia?","Brussel"
"Apa nama alat musik tradisional dari Belgia?","Akordeon"
"Apa nama seni bela diri tradisional dari Belgia?","Karate"
"Apa nama festival yang terkenal di Belgia?","Festival Brussel"
"Apa nama tarian tradisional dari Belgia?","Tarian Flandria"
"Apa nama minuman khas dari Belgia?","Bir"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Swiss?","Bern"
"Apa nama alat musik tradisional dari Swiss?","Alpenhorn"
"Apa nama seni bela diri tradisional dari Swiss?","Schwingen"
"Apa nama festival yang terkenal di Swiss?","Festival Gurten"
"Apa nama tarian tradisional dari Swiss?","Tarian Rakyat Swiss"
"Apa nama minuman khas dari Swiss?","Absinth"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Austria?","Wina"
"Apa nama alat musik tradisional dari Austria?","Zither"
"Apa nama seni bela diri tradisional dari Austria?","Karate"
"Apa nama festival yang terkenal di Austria?","Festival Film Wina"
"Apa nama tarian tradisional dari Austria?","Waltz"
"Apa nama minuman khas dari Austria?","Wine"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Swedia?","Stockholm"
"Apa nama alat musik tradisional dari Swedia?","Nyckelharpa"
"Apa nama seni bela diri tradisional dari Swedia?","Judo"
"Apa nama festival yang terkenal di Swedia?","Festival Midsummer"
"Apa nama tarian tradisional dari Swedia?","Tarian Rakyat Swedia"
"Apa nama minuman khas dari Swedia?","Vodka"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Norwegia?","Oslo"
"Apa nama alat musik tradisional dari Norwegia?","Hardanger fiddle"
"Apa nama seni bela diri tradisional dari Norwegia?","Judo"
"Apa nama festival yang terkenal di Norwegia?","Festival Musik Oslo"
"Apa nama tarian tradisional dari Norwegia?","Halling"
"Apa nama minuman khas dari Norwegia?","Akvavit"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Finlandia?","Helsinki"
"Apa nama alat musik tradisional dari Finlandia?","Kantele"
"Apa nama seni bela diri tradisional dari Finlandia?","Judo"
"Apa nama festival yang terkenal di Finlandia?","Festival Musik Helsinki"
"Apa nama tarian tradisional dari Finlandia?","Tarian Rakyat Finlandia"
"Apa nama minuman khas dari Finlandia?","Vodka"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Denmark?","Kopenhagen"
"Apa nama alat musik tradisional dari Denmark?","Lira"
"Apa nama seni bela diri tradisional dari Denmark?","Judo"
"Apa nama festival yang terkenal di Denmark?","Festival Roskilde"
"Apa nama tarian tradisional dari Denmark?","Tarian Rakyat Denmark"
"Apa nama minuman khas dari Denmark?","Akvavit"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Islandia?","Reykjavik"
"Apa nama alat musik tradisional dari Islandia?","Langspil"
"Apa nama seni bela diri tradisional dari Islandia?","Judo"
"Apa nama festival yang terkenal di Islandia?","Festival Musik Reykjavik"
"Apa nama tarian tradisional dari Islandia?","Tarian Rakyat Islandia"
"Apa nama minuman khas dari Islandia?","Brennivín"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Irlandia?","Dublin"
"Apa nama alat musik tradisional dari Irlandia?","Harpa Irlandia"
"Apa nama seni bela diri tradisional dari Irlandia?","Judo"
"Apa nama festival yang terkenal di Irlandia?","Hari St. Patrick"
"Apa nama tarian tradisional dari Irlandia?","Tarian Irlandia"
"Apa nama minuman khas dari Irlandia?","Guinness"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Skotlandia?","Edinburgh"
"Apa nama alat musik tradisional dari Skotlandia?","Bagpipe"
"Apa nama seni bela diri tradisional dari Skotlandia?","Judo"
"Apa nama festival yang terkenal di Skotlandia?","Festival Edinburgh"
"Apa nama tarian tradisional dari Skotlandia?","Tarian Ceilidh"
"Apa nama minuman khas dari Skotlandia?","Whisky"
"Siapa nama penulis novel 'The Da Vinci Code'?","Dan Brown"
"Apa nama ibukota dari negara Wales?","Cardiff"
"Apa nama alat musik tradisional dari Wales?","Harpa Wales"
"Apa nama seni bela diri tradisional dari Wales?","Judo"
"Apa nama festival yang terkenal di Wales?","Festival Nasional Wales"
"Apa nama tarian tradisional dari Wales?","Tarian Rakyat Wales"
"Apa nama minuman khas dari Wales?","Beer"
"Siapa nama penulis novel 'The Hunger Games'?","Suzanne Collins"
"Apa nama ibukota dari negara Tiongkok?","Beijing"
"Apa nama alat musik tradisional dari Tiongkok?","Erhu"
"Apa nama seni bela diri tradisional dari Tiongkok?","Kung Fu"
"Apa nama festival yang terkenal di Tiongkok?","Festival Musim Semi"
"Apa nama tarian tradisional dari Tiongkok?","Tarian Naga"
"Apa nama minuman khas dari Tiongkok?","Teh"
"Siapa nama penulis novel 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa nama ibukota dari negara Jepang?","Tokyo"
"Apa nama alat musik tradisional dari Jepang?","Shakuhachi"
"Apa nama seni bela diri tradisional dari Jepang?","Judo"
"Apa nama festival yang terkenal di Jepang?","Festival Hanami"
"Apa nama tarian tradisional dari Jepang?","Tarian Kabuki"
"Apa nama minuman khas dari Jepang?","Sake"
"Siapa nama penulis novel 'The Hitchhiker's Guide to the Galaxy'?","Douglas Adams"
"Apa nama ibukota dari negara Korea Selatan?","Seoul"
"Apa nama alat musik tradisional dari Korea Selatan?","Gayageum"
"Apa nama seni bela diri tradisional dari Korea Selatan?","Taekwondo"
"Apa nama festival yang terkenal di Korea Selatan?","Festival Lampion"
"Apa nama tarian tradisional dari Korea Selatan?","Tarian Kipas"
"Apa nama minuman khas dari Korea Selatan?","Soju"
"Siapa nama penulis novel 'The Giver'?","Lois Lowry"
"Apa nama ibukota dari negara Korea Utara?","Pyongyang"
"Apa nama alat musik tradisional dari Korea Utara?","Janggu"
"Apa nama seni bela diri tradisional dari Korea Utara?","Taekwondo"
"Apa nama festival yang terkenal di Korea Utara?","Festival Arirang"
"Apa nama tarian tradisional dari Korea Utara?","Tarian Rakyat Korea Utara"
"Apa nama minuman khas dari Korea Utara?","Soju"
"Siapa nama penulis novel 'The Little Prince'?","Antoine de Saint-Exupéry"
"Apa nama ibukota dari negara Mongolia?","Ulaanbaatar"
